prefix	name	homepage	description
ACFORMAT	Audubon Core Controlled Vocabulary for Dublin Core format		Audubon Core borrows the Dublin Core terms dc:format and dcterms:format to provide information about the physical or electronic format of a media item. This controlled vocabulary provides values for those two terms., Controlled values list for Dublin Core format
ACSUBTYPE	Audubon Core subtype Controlled Vocabulary	http://rs.tdwg.org/ac/doc/subtype/	Audubon Core uses the terms ac:subtype and ac:subtypeLiteral to refine the type of a media item to a level more specific than the Dublin Core Type Vocabulary, http://purl.org/dc/dcmitype/. This controlled vocabulary provides values for ac:subtype and ac:subtypeLiteral.
ACTRIS_CL	ACTRIS Controlled Lists	https://vocabulary.actris.nilu.no/skosmos/actris_ctrl_lists/en/	Lists of controlled terms used in ACTRIS
ACTRIS_VOCAB	ACTRIS Vocabulary	https://vocabulary.actris.nilu.no/skosmos/actris_vocab/en/	Controlled vocabulary of terms used in ACTRIS
ACVARIANT	Audubon Core variant Controlled Vocabulary		Audubon Core uses the terms ac:variant and ac:variantLiteral to provide information about the size, extent, and availability of the Service Access Point of a media item. This controlled vocabulary provides values for those terms.
ALIENSPECIES	Alien Species Thesaurus		The Alien Species Thesaurus is an initiative to deal with the semantics about alien and invasive species. It has been developed and published by LifeWatch Italy, the Italian node of the e-science European infrastructure for biodiversity and ecosystem research (LifeWatch ERIC). It is developed on the basis of already existing glossaries created within the framework of international initiatives aimed at the study of alien and invasive species. The terms (or concepts) are shared very broadly by the scientific community, and their definitions derive from guidelines prepared by relevant international organizations, and only in few occasions by peer reviewed papers. The Thesaurus currently consists of 157 terms.
ARCHIVE	The Archive Type Ontology	http://linked.earth/ontology/	The Archive Type Ontology defines different types of archive types that we can find in a paleo climate dataset.
BIODIVTHES	Biodiversity Thesaurus	http://www.inist.fr	This bilingual thesaurus organizes the key concepts of biodiversity sciences, in their basic and applied ecological components. It uses polyhierarchy and includes 818 reciprocal associative relationships. The 1654 French and English descriptors (designating 827 concepts) are enriched with a large number of synonyms (1860) and hidden variants (7020) in both languages. Concepts are grouped into 82 collections, by semantic categories, thematic fields and EBV classes (Essential Biodiversity Variables). Definitions are given with their sources. This resource is aligned with the international thesauri AGROVOC, GEMET (GEneral Multilingual Environmental Thesaurus) and EnvThes (Environmental Thesaurus), as well as with the ontology ENVO (Environment Ontology)., Ce thésaurus entièrement bilingue organise les concepts clés des sciences de la biodiversité, dans leurs composantes écologiques fondamentales et appliquées. Il utilise la polyhiérarchie et comprend 818 relations associatives réciproques. Les 1654 descripteurs français et anglais (désignant 827 concepts) sont accompagnés d'un grand nombre de synonymes (1860) et de variantes cachées (7020) dans les 2 langues. Les concepts sont regroupés en 82 collections, par catégories sémantiques, domaines thématiques et classes de VEB (variables essentielles de biodiversité). Les définitions sont données avec leurs sources. Cette ressource est alignée sur les thésaurus internationaux AGROVOC, GEMET (GEneral Multilingual Environmental Thesaurus) et EnvThes (Environmental Thesaurus), ainsi que sur l'ontologie ENVO (Environment Ontology).
BIOREGIONS	Biogeographical regions	https://dd.eionet.europa.eu/vocabulary/biodiversity/biogeographic-regions2011/view	The biogeographical regions dataset contains the official delineations used in the Habitats Directive (92/43/EEC) and for the EMERALD Network set up under the Convention on the Conservation of European Wildlife and Natural Habitats (Bern Convention). The dataset is INSPIRE compliant. The vocabulary is used for 2016 and 2011 versions of the dataset.
CHEMFONT	Chemical Functional Ontology	https://www.chemfont.ca/simple	"ChemFOnt contains data on 341,627 chemicals, including 515,332 terms or definitions. The functional hierarchy for ChemFOnt consists of 4 functional “aspects”, 12 functional super-categories and a total of 173,705 functional terms. In addition, each of the chemicals are classified into 4,825 structure-based chemical classes. ChemFOnt currently contains 3.9 million protein-chemical relationships and ~10.3 million chemical-functional relationships. The long-term goal for ChemFOnt is for it to be adopted by databases and software tools used by the general chemistry community as well as the metabolomics, exposomics, metagenomics, genomics and proteomics communities. As noted earlier, the 4 functional ""aspects” are divided into 12 function super-categories which are further subdivided into another 399 functional subcategories which are further divided into thousands of other branches or leaf nodes for a maximum depth of up to seven layers. In particular, Physiological Effect has 3,637 defined categories; Disposition has 4,186 defined categories; Process has 161,098 defined categories; and Role has 1,037 defined categories. In total, ChemFOnt has 173,305 fully defined and fully connected functional categories, which are all placed into a logically consistent hierarchy."
