pmid	relevant	relevancy_type	pr_added	orcid	date_curated	notes
39104285	1	new_provider	1193	0009-0009-5240-7463	2024-09-24	Provider for UniProt IDs, issue with curation due to multiple URI formats depending on plant species
39074139	1	new_provider	1193	0009-0009-5240-7463	2024-09-24	Resolver for PDB IDs
39014503	0	no_website		0009-0009-5240-7463	2024-09-25
39047988	0	irrelevant_other		0009-0009-5240-7463	2024-09-25
39115390	0	irrelevant_other		0009-0009-5240-7463	2024-09-26
39095357	0	irrelevant_other		0009-0009-5240-7463	2024-09-26
39084442	0	not_identifiers_resource		0009-0009-5240-7463	2024-09-27
38991851	1	unclear	1194	0009-0009-5240-7463	2024-09-28	identifiers for sharing, retrieving, and validating sample metadata. Unclear if this should be curated as a prefix, provider or a separate registry
38991828	0	irrelevant_other		0009-0009-5240-7463	2024-09-28
39049520	0	not_identifiers_resource		0009-0009-5240-7463	2024-09-30
39104826	1	existing		0009-0009-5240-7463	2024-10-01	Already present in the bioregistry as a provider for mesh prefix
39050757	0	irrelevant_other		0009-0009-5240-7463	2024-10-01
39064021	0	irrelevant_other		0009-0009-5240-7463	2024-10-01
39028894	0	not_identifiers_resource		0009-0009-5240-7463	2024-10-04
39044201	0	not_identifiers_resource		0009-0009-5240-7463	2024-10-04	Potential resource for rare diseases identifiers, but not identifier information
39088253	0	irrelevant_other		0009-0009-5240-7463	2024-10-05
39119155	0	irrelevant_other		0009-0009-5240-7463	2024-10-05
39005357	0	irrelevant_other		0009-0009-5240-7463	2024-10-05
39044130	0	irrelevant_other		0009-0009-5240-7463	2024-10-05
39010878	0	irrelevant_other		0009-0009-5240-7463	2024-10-05
